Episode,Agent Score,Random Score
1,-257.00999999999897,-231.30000000000138
2,-253.0600000000009,-249.2400000000011
3,-260.46999999999923,-242.87
4,-253.68000000000066,-257.0499999999998
5,-254.0400000000002,-243.89999999999995
6,-248.5000000000004,-232.86000000000212
7,-259.3300000000027,-241.2400000000011
8,-245.2700000000029,-234.82000000000053
9,-262.4700000000058,-255.4400000000063
10,-241.01000000000113,-251.64000000000505
